   seconds    count   ms/call  share  phase
    59.655      227    262.80  23.8%  execute_model
    58.642      225    260.63  23.4%  target_forward
    23.932     9492      2.52   9.6%  moe
    14.736     7684      1.92   5.9%  kda_attn
    13.760     9717      1.42   5.5%  moe_routed
    11.376     2486      4.58   4.5%  mla_attn
     4.893     9631      0.51   2.0%  moe_w13
     4.778     7684      0.62   1.9%  kda_in_proj
     4.557     2711      1.68   1.8%  mla_core
     4.063      225     18.06   1.6%  sample_tokens
     3.878     7684      0.50   1.5%  kda_core
     3.831     9717      0.39   1.5%  moe_shared
     3.794    10170      0.37   1.5%  mhc_attn_site
     3.774    10170      0.37   1.5%  mhc_ffn_site
     3.707     2711      1.37   1.5%  mla_indexer
     3.695     9631      0.38   1.5%  moe_w2sum
     2.939     9717      0.30   1.2%  moe_router
     2.890     7684      0.38   1.2%  kda_o_proj
     2.786       86     32.40   1.1%  moe_mm_w13
     2.661      225     11.83   1.1%  drafter_propose
     2.401     7752      0.31   1.0%  kda_gate_proj
     1.970     2711      0.73   0.8%  idx_op
     1.756     2711      0.65   0.7%  mla_mqa
     1.510       86     17.56   0.6%  moe_mm_w2
     1.344     2711      0.50   0.5%  mla_o_proj
     1.007     2711      0.37   0.4%  mla_absorb_bmm
     0.932     2711      0.34   0.4%  mla_vup
     0.911     2711      0.34   0.4%  mla_q_b
     0.852     2711      0.31   0.3%  idx_wq_b
     0.830     2711      0.31   0.3%  idx_wk
     0.811     2711      0.30   0.3%  mla_qkv_a
     0.600     2711      0.22   0.2%  idx_insert
     0.591      225      2.63   0.2%  sample_and_reject
     0.513      678      0.76   0.2%  dense_ffn
