   seconds    count   ms/call  share  phase
   369.963      270   1370.23  21.6%  execute_model
   366.110      266   1376.35  21.4%  target_forward
   241.540    11214     21.54  14.1%  moe
   222.750    11480     19.40  13.0%  moe_routed
   121.832     9073     13.43   7.1%  moe_mm_w13
    85.518     9073      9.43   5.0%  moe_mm_w2
    70.958     9078      7.82   4.1%  kda_attn
    37.109     2937     12.63   2.2%  mla_attn
    35.533     9078      3.91   2.1%  kda_in_proj
    20.878     3203      6.52   1.2%  mla_core
    16.734     9078      1.84   1.0%  kda_core
    16.669      266     62.67   1.0%  sample_tokens
    15.513     3203      4.84   0.9%  mla_mqa
    12.034    11480      1.05   0.7%  moe_shared
    11.704      266     44.00   0.7%  drafter_propose
    11.062     9078      1.22   0.6%  kda_o_proj
     7.305     3203      2.28   0.4%  mla_o_proj
     5.941     3203      1.85   0.3%  mla_indexer
     5.816    12015      0.48   0.3%  mhc_attn_site
     5.612    12015      0.47   0.3%  mhc_ffn_site
     3.982    11480      0.35   0.2%  moe_router
     3.699      801      4.62   0.2%  dense_ffn
     3.251    17136      0.19   0.2%  kda_gate_proj
     2.976     3203      0.93   0.2%  mla_q_b
     2.900     2407      1.20   0.2%  moe_w13
     2.627     3203      0.82   0.2%  idx_op
     2.195     3203      0.69   0.1%  mla_absorb_bmm
     2.133      266      8.02   0.1%  sample_and_reject
     2.031     3203      0.63   0.1%  mla_vup
     1.779     3203      0.56   0.1%  mla_qkv_a
     1.759     3203      0.55   0.1%  idx_wq_b
     1.646     2407      0.68   0.1%  moe_w2sum
     1.393     3203      0.44   0.1%  idx_wk
     0.834     3203      0.26   0.0%  idx_insert
