   seconds    count   ms/call  share  phase
     5.442       22    247.34  25.2%  execute_model
     4.945       22    224.80  22.9%  target_forward
     1.946      965      2.02   9.0%  moe
     1.268      782      1.62   5.9%  kda_attn
     1.066      253      4.21   4.9%  mla_attn
     0.950      987      0.96   4.4%  moe_routed
     0.507      988      0.51   2.3%  moe_w13
     0.391      275      1.42   1.8%  mla_core
     0.383       22     17.40   1.8%  sample_tokens
     0.383      275      1.39   1.8%  mla_indexer
     0.375      988      0.38   1.7%  moe_w2sum
     0.372     1035      0.36   1.7%  mhc_attn_site
     0.368     1035      0.36   1.7%  mhc_ffn_site
     0.360      782      0.46   1.7%  kda_in_proj
     0.350      782      0.45   1.6%  kda_core
     0.343      988      0.35   1.6%  moe_shared
     0.307      988      0.31   1.4%  moe_router
     0.251      782      0.32   1.2%  kda_o_proj
     0.247       22     11.24   1.1%  drafter_propose
     0.239      782      0.31   1.1%  kda_gate_proj
     0.194      275      0.70   0.9%  idx_op
     0.125      275      0.45   0.6%  mla_mqa
     0.107      275      0.39   0.5%  mla_o_proj
     0.101      275      0.37   0.5%  mla_absorb_bmm
     0.087      275      0.32   0.4%  mla_vup
     0.087      275      0.32   0.4%  idx_wq_b
     0.085      275      0.31   0.4%  idx_wk
     0.082      275      0.30   0.4%  mla_q_b
     0.077      275      0.28   0.4%  mla_qkv_a
     0.063       22      2.85   0.3%  sample_and_reject
     0.061      275      0.22   0.3%  idx_insert
     0.040       69      0.57   0.2%  dense_ffn
