   seconds    count   ms/call  share  phase
   470.935      611    770.76  22.1%  execute_model
   465.921      607    767.58  21.9%  target_forward
   247.176    25494      9.70  11.6%  moe
   209.957    26100      8.04   9.9%  moe_routed
   114.677    20638      5.56   5.4%  kda_attn
    93.190    25670      3.63   4.4%  moe_w13
    72.480     6677     10.86   3.4%  mla_attn
    50.178    20638      2.43   2.4%  kda_in_proj
    44.905    25670      1.75   2.1%  moe_w2sum
    43.474     7283      5.97   2.0%  mla_core
    35.716      430     83.06   1.7%  moe_mm_w2
    32.732     7283      4.49   1.5%  mla_mqa
    31.973      430     74.36   1.5%  moe_mm_w13
    29.337    20638      1.42   1.4%  kda_core
    25.859      606     42.67   1.2%  sample_tokens
    21.115    26100      0.81   1.0%  moe_shared
    18.168    20638      0.88   0.9%  kda_o_proj
    16.584      606     27.37   0.8%  drafter_propose
    12.637     7283      1.74   0.6%  mla_indexer
    11.982    27315      0.44   0.6%  mhc_attn_site
    11.730    27315      0.43   0.6%  mhc_ffn_site
    11.113     7283      1.53   0.5%  mla_o_proj
     8.821    26100      0.34   0.4%  moe_router
     7.456    39542      0.19   0.4%  kda_gate_proj
     5.882     7283      0.81   0.3%  idx_op
     5.265     1821      2.89   0.2%  dense_ffn
     5.243     7283      0.72   0.2%  mla_q_b
     4.416     7283      0.61   0.2%  mla_absorb_bmm
     4.212      606      6.95   0.2%  sample_and_reject
     3.782     7283      0.52   0.2%  mla_vup
     3.380     7283      0.46   0.2%  idx_wq_b
     3.329     7283      0.46   0.2%  mla_qkv_a
     3.086     7283      0.42   0.1%  idx_wk
     1.972     7283      0.27   0.1%  idx_insert
