   seconds    count   ms/call  share  phase
     5.428       22    246.75  24.2%  execute_model
     4.938       22    224.44  22.0%  target_forward
     1.960      965      2.03   8.7%  moe
     1.239      782      1.58   5.5%  kda_attn
     1.078      253      4.26   4.8%  mla_attn
     0.967      987      0.98   4.3%  moe_routed
     0.730       22     33.19   3.3%  sample_tokens
     0.528      988      0.53   2.4%  moe_w13
     0.404      275      1.47   1.8%  mla_core
     0.403       22     18.33   1.8%  sample_and_reject
     0.391      988      0.40   1.7%  moe_w2sum
     0.389     1035      0.38   1.7%  mhc_attn_site
     0.385     1035      0.37   1.7%  mhc_ffn_site
     0.384      275      1.39   1.7%  mla_indexer
     0.363      782      0.46   1.6%  kda_in_proj
     0.357      988      0.36   1.6%  moe_shared
     0.325      782      0.42   1.5%  kda_core
     0.314      988      0.32   1.4%  moe_router
     0.258       22     11.72   1.2%  drafter_propose
     0.255      782      0.33   1.1%  kda_o_proj
     0.246      782      0.32   1.1%  kda_gate_proj
     0.191      275      0.69   0.9%  idx_op
     0.125      275      0.45   0.6%  mla_mqa
     0.112      275      0.41   0.5%  mla_o_proj
     0.106      275      0.38   0.5%  mla_absorb_bmm
     0.092      275      0.33   0.4%  mla_vup
     0.090      275      0.33   0.4%  idx_wk
     0.089      275      0.33   0.4%  idx_wq_b
     0.087      275      0.32   0.4%  mla_q_b
     0.079      275      0.29   0.4%  mla_qkv_a
     0.067      275      0.24   0.3%  idx_insert
     0.040       69      0.58   0.2%  dense_ffn
