   seconds    count   ms/call  share  phase
   235.116      266    883.89  22.7%  execute_model
   231.157      262    882.28  22.3%  target_forward
   105.296     8908     11.82  10.2%  kda_attn
    84.820    11004      7.71   8.2%  moe
    67.659    11265      6.01   6.5%  moe_routed
    66.517     8908      7.47   6.4%  kda_core
    27.184     2882      9.43   2.6%  mla_attn
    22.988     8908      2.58   2.2%  kda_in_proj
    20.954    11007      1.90   2.0%  moe_w13
    20.386      261     78.11   2.0%  sample_tokens
    17.706     3144      5.63   1.7%  mla_core
    17.385      258     67.39   1.7%  moe_mm_w2
    16.532      258     64.08   1.6%  moe_mm_w13
    14.161      261     54.26   1.4%  drafter_propose
    11.359     3144      3.61   1.1%  mla_mqa
    10.825    11007      0.98   1.0%  moe_w2sum
    10.102    11266      0.90   1.0%  moe_shared
     8.227     8908      0.92   0.8%  kda_o_proj
     6.374     3144      2.03   0.6%  mla_o_proj
     5.247     3144      1.67   0.5%  mla_indexer
     5.131    11790      0.44   0.5%  mhc_ffn_site
     5.021    11790      0.43   0.5%  mhc_attn_site
     3.740    11265      0.33   0.4%  moe_router
     3.616    16286      0.22   0.3%  kda_gate_proj
     3.105     3144      0.99   0.3%  mla_q_b
     2.856     3144      0.91   0.3%  mla_absorb_bmm
     2.461     3144      0.78   0.2%  idx_op
     2.452     3144      0.78   0.2%  mla_vup
     2.204      786      2.80   0.2%  dense_ffn
     1.613     3144      0.51   0.2%  mla_qkv_a
     1.502      262      5.73   0.1%  sample_and_reject
     1.421     3144      0.45   0.1%  idx_wq_b
     1.248     3144      0.40   0.1%  idx_wk
     0.850     3144      0.27   0.1%  idx_insert
