   seconds    count   ms/call  share  phase
     6.060       22    275.45  24.5%  execute_model
     5.542       22    251.91  22.5%  target_forward
     1.984      965      2.06   8.0%  moe
     1.641      253      6.49   6.6%  mla_attn
     1.249      782      1.60   5.1%  kda_attn
     0.971      987      0.98   3.9%  moe_routed
     0.955      275      3.47   3.9%  mla_core
     0.674      275      2.45   2.7%  mla_mqa
     0.527      988      0.53   2.1%  moe_w13
     0.390      988      0.39   1.6%  moe_w2sum
     0.389      275      1.42   1.6%  mla_indexer
     0.386     1035      0.37   1.6%  mhc_attn_site
     0.386       22     17.53   1.6%  sample_tokens
     0.385     1035      0.37   1.6%  mhc_ffn_site
     0.362      782      0.46   1.5%  kda_in_proj
     0.358      988      0.36   1.5%  moe_shared
     0.328      782      0.42   1.3%  kda_core
     0.322      988      0.33   1.3%  moe_router
     0.256      782      0.33   1.0%  kda_o_proj
     0.251       22     11.41   1.0%  drafter_propose
     0.248      782      0.32   1.0%  kda_gate_proj
     0.195      275      0.71   0.8%  idx_op
     0.112      275      0.41   0.5%  mla_o_proj
     0.106      275      0.39   0.4%  mla_absorb_bmm
     0.093      275      0.34   0.4%  mla_vup
     0.090      275      0.33   0.4%  idx_wk
     0.089      275      0.33   0.4%  idx_wq_b
     0.086      275      0.31   0.3%  mla_q_b
     0.080      275      0.29   0.3%  mla_qkv_a
     0.067      275      0.24   0.3%  idx_insert
     0.063       22      2.87   0.3%  sample_and_reject
     0.039       69      0.57   0.2%  dense_ffn
